Sciezka;Etykiety
Dataset/train/images\BTR (1047).jpg;Bird
Dataset/train/images\BTR (1048).jpg;Bird
Dataset/train/images\BTR (1049).jpg;Bird
Dataset/train/images\BTR (105).jpg;Bird
Dataset/train/images\BTR (1050).jpg;Bird
Dataset/train/images\BTR (1051).jpg;Bird
Dataset/train/images\BTR (1052).jpg;Bird
Dataset/train/images\BTR (1053).jpg;Bird
Dataset/train/images\BTR (1054).jpg;Bird
Dataset/train/images\BTR (1055).jpg;Bird
Dataset/train/images\BTR (1056).jpg;Bird
Dataset/train/images\BTR (1057).jpg;Bird
Dataset/train/images\BTR (1058).jpg;Bird
Dataset/train/images\BTR (1059).jpg;Bird
Dataset/train/images\BTR (106).jpg;Bird
Dataset/train/images\BTR (1060).jpg;Bird
Dataset/train/images\BTR (1061).jpg;Bird
Dataset/train/images\BTR (1062).jpg;Bird
Dataset/train/images\BTR (1063).jpg;Bird
Dataset/train/images\BTR (1064).jpg;Bird
Dataset/train/images\BTR (1065).jpg;Bird
Dataset/train/images\BTR (1066).jpg;Bird
Dataset/train/images\BTR (1067).jpg;Bird
Dataset/train/images\BTR (1068).jpg;Bird
Dataset/train/images\BTR (1069).jpg;Bird
Dataset/train/images\BTR (107).jpg;Bird
Dataset/train/images\BTR (1070).jpg;Bird
Dataset/train/images\BTR (1071).jpg;Bird
Dataset/train/images\BTR (1072).jpg;Bird
Dataset/train/images\BTR (1073).jpg;Bird
Dataset/train/images\BTR (1074).jpg;Bird
Dataset/train/images\BTR (1075).jpg;Bird
Dataset/train/images\BTR (1076).jpg;Bird
Dataset/train/images\BTR (1077).jpg;Bird
Dataset/train/images\BTR (1078).jpg;Bird
Dataset/train/images\BTR (1079).jpg;Bird
Dataset/train/images\BTR (108).jpg;Bird
Dataset/train/images\BTR (1080).jpg;Bird
Dataset/train/images\BTR (1081).jpg;Bird
Dataset/train/images\BTR (1082).jpg;Bird
Dataset/train/images\BTR (1083).jpg;Bird
Dataset/train/images\BTR (1084).jpg;Bird
Dataset/train/images\BTR (1085).jpg;Bird
Dataset/train/images\BTR (1086).jpg;Bird
Dataset/train/images\BTR (1087).jpg;Bird
Dataset/train/images\BTR (1088).jpg;Bird
Dataset/train/images\BTR (1089).jpg;Bird
Dataset/train/images\BTR (109).jpg;Bird
Dataset/train/images\BTR (1090).jpg;Bird
Dataset/train/images\BTR (1091).jpg;Bird
Dataset/train/images\BTR (1092).jpg;Bird
Dataset/train/images\BTR (1093).jpg;Bird
Dataset/train/images\BTR (1094).jpg;Bird
Dataset/train/images\BTR (1095).jpg;Bird
Dataset/train/images\BTR (1096).jpg;Bird
Dataset/train/images\BTR (1097).jpg;Bird
Dataset/train/images\BTR (1098).jpg;Bird
Dataset/train/images\BTR (1099).jpg;Bird
Dataset/train/images\BTR (11).jpg;Bird
Dataset/train/images\BTR (110).jpg;Bird
Dataset/train/images\BTR (1100).jpg;Bird
Dataset/train/images\BTR (1101).jpg;Bird
Dataset/train/images\BTR (1102).jpg;Bird
Dataset/train/images\BTR (1103).jpg;Bird
Dataset/train/images\BTR (1104).jpg;Bird
Dataset/train/images\BTR (1105).jpg;Bird
Dataset/train/images\BTR (1106).jpg;Bird
Dataset/train/images\BTR (1107).jpg;Bird
Dataset/train/images\BTR (1108).jpg;Bird
Dataset/train/images\BTR (1109).jpg;Bird
Dataset/train/images\BTR (111).jpg;Bird
Dataset/train/images\BTR (1110).jpg;Bird
Dataset/train/images\BTR (1111).jpg;Bird
Dataset/train/images\BTR (1112).jpg;Bird
Dataset/train/images\BTR (1113).jpg;Bird
Dataset/train/images\BTR (1114).jpg;Bird
Dataset/train/images\BTR (1115).jpg;Bird
Dataset/train/images\BTR (1116).jpg;Bird
Dataset/train/images\BTR (1117).jpg;Bird
Dataset/train/images\BTR (1118).jpg;Bird
Dataset/train/images\BTR (1119).jpg;Bird
Dataset/train/images\BTR (112).jpg;Bird
Dataset/train/images\BTR (1120).jpg;Bird
Dataset/train/images\BTR (1121).jpg;Bird
Dataset/train/images\BTR (1122).jpg;Bird
Dataset/train/images\BTR (1123).jpg;Bird
Dataset/train/images\BTR (1124).jpg;Bird
Dataset/train/images\BTR (1125).jpg;Bird
Dataset/train/images\BTR (1126).jpg;Bird
Dataset/train/images\BTR (1127).jpg;Bird
Dataset/train/images\BTR (1128).jpg;Bird
Dataset/train/images\BTR (1129).jpg;Bird
Dataset/train/images\BTR (113).jpg;Bird
Dataset/train/images\BTR (1130).jpg;Bird
Dataset/train/images\BTR (1131).jpg;Bird
Dataset/train/images\BTR (1132).jpg;Bird
Dataset/train/images\BTR (1133).jpg;Bird
Dataset/train/images\BTR (1134).jpg;Bird
Dataset/train/images\BTR (1135).jpg;Bird
Dataset/train/images\BTR (1136).jpg;Bird
Dataset/train/images\BTR (1137).jpg;Bird
Dataset/train/images\BTR (1138).jpg;Bird
Dataset/train/images\BTR (1139).jpg;Bird
Dataset/train/images\BTR (114).jpg;Bird
Dataset/train/images\BTR (1140).jpg;Bird
Dataset/train/images\BTR (1141).jpg;Bird
Dataset/train/images\BTR (1142).jpg;Bird
Dataset/train/images\BTR (1143).jpg;Bird
Dataset/train/images\BTR (1144).jpg;Bird
Dataset/train/images\BTR (1145).jpg;Bird
Dataset/train/images\BTR (1146).jpg;Bird
Dataset/train/images\BTR (1147).jpg;Bird
Dataset/train/images\BTR (1148).jpg;Bird
Dataset/train/images\BTR (1149).jpg;Bird
Dataset/train/images\BTR (115).jpg;Bird
Dataset/train/images\BTR (1150).jpg;Bird
Dataset/train/images\BTR (1151).jpg;Bird
Dataset/train/images\BTR (1152).jpg;Bird
Dataset/train/images\BTR (1153).jpg;Bird
Dataset/train/images\BTR (1154).jpg;Bird
Dataset/train/images\BTR (1155).jpg;Bird
Dataset/train/images\BTR (1156).jpg;Bird
Dataset/train/images\BTR (1157).jpg;Bird
Dataset/train/images\BTR (1158).jpg;Bird
Dataset/train/images\BTR (1159).jpg;Bird
Dataset/train/images\BTR (116).jpg;Bird
Dataset/train/images\BTR (1160).jpg;Bird
Dataset/train/images\BTR (1161).jpg;Bird
Dataset/train/images\BTR (1162).jpg;Bird
Dataset/train/images\BTR (1163).jpg;Bird
Dataset/train/images\BTR (1164).jpg;Bird
Dataset/train/images\BTR (1165).jpg;Bird
Dataset/train/images\BTR (1166).jpg;Bird
Dataset/train/images\BTR (1167).jpg;Bird
Dataset/train/images\BTR (1168).jpg;Bird
Dataset/train/images\BTR (1169).jpg;Bird
Dataset/train/images\BTR (117).jpg;Bird
Dataset/train/images\BTR (1170).jpg;Bird
Dataset/train/images\BTR (1171).jpg;Bird
Dataset/train/images\BTR (1172).jpg;Bird
Dataset/train/images\BTR (1173).jpg;Bird
Dataset/train/images\BTR (1174).jpg;Bird
Dataset/train/images\BTR (1175).jpg;Bird
Dataset/train/images\BTR (1176).jpg;Bird
Dataset/train/images\BTR (1177).jpg;Bird
Dataset/train/images\BTR (1178).jpg;Bird
Dataset/train/images\BTR (1179).jpg;Bird
Dataset/train/images\BTR (118).jpg;Bird
Dataset/train/images\BTR (1180).jpg;Bird
Dataset/train/images\BTR (1181).jpg;Bird
Dataset/train/images\BTR (1182).jpg;Bird
Dataset/train/images\BTR (1183).jpg;Bird
Dataset/train/images\BTR (1184).jpg;Bird
Dataset/train/images\BTR (1185).jpg;Bird
Dataset/train/images\BTR (1186).jpg;Bird
Dataset/train/images\BTR (1187).jpg;Bird
Dataset/train/images\BTR (1188).jpg;Bird
Dataset/train/images\BTR (1189).jpg;Bird
Dataset/train/images\BTR (119).jpg;Bird
Dataset/train/images\BTR (1190).jpg;Bird
Dataset/train/images\BTR (1191).jpg;Bird
Dataset/train/images\BTR (1192).jpg;Bird
Dataset/train/images\BTR (1193).jpg;Bird
Dataset/train/images\BTR (1194).jpg;Bird
Dataset/train/images\BTR (1195).jpg;Bird
Dataset/train/images\BTR (1196).jpg;Bird
Dataset/train/images\BTR (1197).jpg;Bird
Dataset/train/images\BTR (1198).jpg;Bird
Dataset/train/images\BTR (1199).jpg;Bird
Dataset/train/images\BTR (12).jpg;Bird
Dataset/train/images\BTR (120).jpg;Bird
Dataset/train/images\BTR (1200).jpg;Bird
Dataset/train/images\BTR (1201).jpg;Bird
Dataset/train/images\BTR (1202).jpg;Bird
Dataset/train/images\BTR (1203).jpg;Bird
Dataset/train/images\BTR (1204).jpg;Bird
Dataset/train/images\BTR (1205).jpg;Bird
Dataset/train/images\BTR (1206).jpg;Bird
Dataset/train/images\BTR (1207).jpg;Bird
Dataset/train/images\BTR (1208).jpg;Bird
Dataset/train/images\BTR (1209).jpg;Bird
Dataset/train/images\BTR (121).jpg;Bird
Dataset/train/images\BTR (1210).jpg;Bird
Dataset/train/images\BTR (1211).jpg;Bird
Dataset/train/images\BTR (1212).jpg;Bird
Dataset/train/images\BTR (1213).jpg;Bird
Dataset/train/images\BTR (1214).jpg;Bird
Dataset/train/images\BTR (1215).jpg;Bird
Dataset/train/images\BTR (1216).jpg;Bird
Dataset/train/images\BTR (1217).jpg;Bird
Dataset/train/images\BTR (1218).jpg;Bird
Dataset/train/images\BTR (1219).jpg;Bird
Dataset/train/images\BTR (122).jpg;Bird
Dataset/train/images\BTR (1220).jpg;Bird
Dataset/train/images\BTR (1221).jpg;Bird
Dataset/train/images\BTR (1222).jpg;Bird
Dataset/train/images\BTR (1223).jpg;Bird
Dataset/train/images\BTR (1224).jpg;Bird
Dataset/train/images\BTR (1225).jpg;Bird
Dataset/train/images\BTR (1226).jpg;Bird
Dataset/train/images\BTR (1227).jpg;Bird
Dataset/train/images\BTR (1228).jpg;Bird
Dataset/train/images\BTR (1229).jpg;Bird
Dataset/train/images\BTR (123).jpg;Bird
Dataset/train/images\BTR (1230).jpg;Bird
Dataset/train/images\BTR (1231).jpg;Bird
Dataset/train/images\BTR (1232).jpg;Bird
Dataset/train/images\BTR (1233).jpg;Bird
Dataset/train/images\BTR (1234).jpg;Bird
Dataset/train/images\BTR (1235).jpg;Bird
Dataset/train/images\BTR (1236).jpg;Bird
Dataset/train/images\BTR (1237).jpg;Bird
Dataset/train/images\BTR (1238).jpg;Bird
Dataset/train/images\BTR (1239).jpg;Bird
Dataset/train/images\BTR (124).jpg;Bird
Dataset/train/images\BTR (1240).jpg;Bird
Dataset/train/images\BTR (1241).jpg;Bird
Dataset/train/images\BTR (1242).jpg;Bird
Dataset/train/images\BTR (1243).jpg;Bird
Dataset/train/images\BTR (1244).jpg;Bird
Dataset/train/images\BTR (1245).jpg;Bird
Dataset/train/images\BTR (1246).jpg;Bird
Dataset/train/images\BTR (1247).jpg;Bird
Dataset/train/images\BTR (1248).jpg;Bird
Dataset/train/images\BTR (1249).jpg;Bird
Dataset/train/images\BTR (125).jpg;Bird
Dataset/train/images\BTR (1250).jpg;Bird
Dataset/train/images\BTR (1251).jpg;Bird
Dataset/train/images\BTR (1252).jpg;Bird
Dataset/train/images\BTR (1253).jpg;Bird
Dataset/train/images\BTR (1254).jpg;Bird
Dataset/train/images\BTR (1255).jpg;Bird
Dataset/train/images\BTR (1256).jpg;Bird
Dataset/train/images\BTR (1257).jpg;Bird
Dataset/train/images\BTR (1258).jpg;Bird
Dataset/train/images\BTR (1259).jpg;Bird
Dataset/train/images\BTR (126).jpg;Bird
Dataset/train/images\BTR (1260).jpg;Bird
Dataset/train/images\BTR (1261).jpg;Bird
Dataset/train/images\BTR (1262).jpg;Bird
Dataset/train/images\BTR (1263).jpg;Bird
Dataset/train/images\BTR (1264).jpg;Bird
Dataset/train/images\BTR (1265).jpg;Bird
Dataset/train/images\BTR (1266).jpg;Bird
Dataset/train/images\BTR (1267).jpg;Bird
Dataset/train/images\BTR (1268).jpg;Bird
Dataset/train/images\BTR (1269).jpg;Bird
Dataset/train/images\BTR (127).jpg;Bird
Dataset/train/images\BTR (1270).jpg;Bird
Dataset/train/images\BTR (1271).jpg;Bird
Dataset/train/images\BTR (1272).jpg;Bird
Dataset/train/images\BTR (1273).jpg;Bird
Dataset/train/images\BTR (1274).jpg;Bird
Dataset/train/images\BTR (1275).jpg;Bird
Dataset/train/images\BTR (1276).jpg;Bird
Dataset/train/images\BTR (1277).jpg;Bird
Dataset/train/images\BTR (1278).jpg;Bird
Dataset/train/images\BTR (1279).jpg;Bird
Dataset/train/images\BTR (128).jpg;Bird
Dataset/train/images\BTR (1280).jpg;Bird
Dataset/train/images\BTR (1281).jpg;Bird
Dataset/train/images\BTR (1282).jpg;Bird
Dataset/train/images\BTR (1283).jpg;Bird
Dataset/train/images\BTR (1284).jpg;Bird
Dataset/train/images\BTR (1285).jpg;Bird
Dataset/train/images\BTR (1286).jpg;Bird
Dataset/train/images\BTR (1287).jpg;Bird
Dataset/train/images\BTR (1288).jpg;Bird
Dataset/train/images\BTR (1289).jpg;Bird
Dataset/train/images\BTR (129).jpg;Bird
Dataset/train/images\BTR (1290).jpg;Bird
Dataset/train/images\BTR (1291).jpg;Bird
Dataset/train/images\BTR (1292).jpg;Bird
Dataset/train/images\BTR (1293).jpg;Bird
Dataset/train/images\BTR (1294).jpg;Bird
Dataset/train/images\BTR (1295).jpg;Bird
Dataset/train/images\BTR (1296).jpg;Bird
Dataset/train/images\BTR (1297).jpg;Bird
Dataset/train/images\BTR (1298).jpg;Bird
Dataset/train/images\BTR (1299).jpg;Bird
Dataset/train/images\BTR (13).jpg;Bird
Dataset/train/images\BTR (130).jpg;Bird
Dataset/train/images\BTR (1300).jpg;Bird
Dataset/train/images\BTR (1301).jpg;Bird
Dataset/train/images\BTR (1302).jpg;Bird
Dataset/train/images\BTR (1303).jpg;Bird
Dataset/train/images\BTR (1304).jpg;Bird
Dataset/train/images\BTR (1305).jpg;Bird
Dataset/train/images\BTR (1306).jpg;Bird
Dataset/train/images\BTR (1307).jpg;Bird
Dataset/train/images\BTR (1308).jpg;Bird
Dataset/train/images\BTR (1309).jpg;Bird
Dataset/train/images\BTR (131).jpg;Bird
Dataset/train/images\BTR (1310).jpg;Bird
Dataset/train/images\BTR (1311).jpg;Bird
Dataset/train/images\BTR (1312).jpg;Bird
Dataset/train/images\BTR (1313).jpg;Bird
Dataset/train/images\BTR (1314).jpg;Bird
Dataset/train/images\BTR (1315).jpg;Bird
Dataset/train/images\BTR (1316).jpg;Bird
Dataset/train/images\BTR (1317).jpg;Bird
Dataset/train/images\BTR (1318).jpg;Bird
Dataset/train/images\BTR (1319).jpg;Bird
Dataset/train/images\BTR (132).jpg;Bird
Dataset/train/images\BTR (1320).jpg;Bird
Dataset/train/images\BTR (1321).jpg;Bird
Dataset/train/images\BTR (1322).jpg;Bird
Dataset/train/images\BTR (1323).jpg;Bird
Dataset/train/images\BTR (1324).jpg;Bird
Dataset/train/images\BTR (1325).jpg;Bird
Dataset/train/images\BTR (1326).jpg;Bird
Dataset/train/images\BTR (1327).jpg;Bird
Dataset/train/images\BTR (1328).jpg;Bird
Dataset/train/images\BTR (1329).jpg;Bird
Dataset/train/images\BTR (133).jpg;Bird
Dataset/train/images\BTR (1330).jpg;Bird
Dataset/train/images\BTR (1331).jpg;Bird
Dataset/train/images\BTR (1332).jpg;Bird
Dataset/train/images\BTR (1333).jpg;Bird
Dataset/train/images\BTR (1334).jpg;Bird
Dataset/train/images\BTR (1335).jpg;Bird
Dataset/train/images\BTR (1336).jpg;Bird
Dataset/train/images\BTR (1337).jpg;Bird
Dataset/train/images\BTR (1338).jpg;Bird
Dataset/train/images\BTR (1339).jpg;Bird
Dataset/train/images\BTR (134).jpg;Bird
Dataset/train/images\BTR (1340).jpg;Bird
Dataset/train/images\BTR (1341).jpg;Bird
Dataset/train/images\BTR (1342).jpg;Bird
Dataset/train/images\BTR (1343).jpg;Bird
Dataset/train/images\BTR (1344).jpg;Bird
Dataset/train/images\BTR (1345).jpg;Bird
Dataset/train/images\BTR (1346).jpg;Bird
Dataset/train/images\BTR (1347).jpg;Bird
Dataset/train/images\BTR (1348).jpg;Bird
Dataset/train/images\BTR (1349).jpg;Bird
Dataset/train/images\BTR (135).jpg;Bird
Dataset/train/images\BTR (1350).jpg;Bird
Dataset/train/images\BTR (1351).jpg;Bird
Dataset/train/images\BTR (1352).jpg;Bird
Dataset/train/images\BTR (1353).jpg;Bird
Dataset/train/images\BTR (1354).jpg;Bird
Dataset/train/images\BTR (1355).jpg;Bird
Dataset/train/images\BTR (1356).jpg;Bird
Dataset/train/images\BTR (1357).jpg;Bird
Dataset/train/images\BTR (1358).jpg;Bird
Dataset/train/images\BTR (1359).jpg;Bird
Dataset/train/images\BTR (136).jpg;Bird
Dataset/train/images\BTR (1360).jpg;Bird
Dataset/train/images\BTR (1361).jpg;Bird
Dataset/train/images\BTR (1362).jpg;Bird
Dataset/train/images\BTR (1363).jpg;Bird
Dataset/train/images\BTR (1364).jpg;Bird
Dataset/train/images\BTR (1365).jpg;Bird
Dataset/train/images\BTR (1366).jpg;Bird
Dataset/train/images\BTR (1367).jpg;Bird
Dataset/train/images\BTR (1368).jpg;Bird
Dataset/train/images\BTR (1369).jpg;Bird
Dataset/train/images\BTR (137).jpg;Bird
Dataset/train/images\BTR (1370).jpg;Bird
Dataset/train/images\BTR (1371).jpg;Bird
Dataset/train/images\BTR (1372).jpg;Bird
Dataset/train/images\BTR (1373).jpg;Bird
Dataset/train/images\BTR (1374).jpg;Bird
Dataset/train/images\BTR (1375).jpg;Bird
Dataset/train/images\BTR (1376).jpg;Bird
Dataset/train/images\BTR (1377).jpg;Bird
Dataset/train/images\BTR (1378).jpg;Bird
Dataset/train/images\BTR (1379).jpg;Bird
Dataset/train/images\BTR (138).jpg;Bird
Dataset/train/images\BTR (1380).jpg;Bird
Dataset/train/images\BTR (1381).jpg;Bird
Dataset/train/images\BTR (1382).jpg;Bird
Dataset/train/images\BTR (1383).jpg;Bird
Dataset/train/images\BTR (1384).jpg;Bird
Dataset/train/images\BTR (1385).jpg;Bird
Dataset/train/images\BTR (1386).jpg;Bird
Dataset/train/images\BTR (1387).jpg;Bird
Dataset/train/images\BTR (1388).jpg;Bird
Dataset/train/images\BTR (1389).jpg;Bird
Dataset/train/images\BTR (139).jpg;Bird
Dataset/train/images\BTR (1390).jpg;Bird
Dataset/train/images\BTR (1391).jpg;Bird
Dataset/train/images\BTR (1392).jpg;Bird
Dataset/train/images\BTR (1393).jpg;Bird
Dataset/train/images\BTR (1394).jpg;Bird
Dataset/train/images\BTR (1395).jpg;Bird
Dataset/train/images\BTR (1396).jpg;Bird
Dataset/train/images\BTR (1397).jpg;Bird
Dataset/train/images\BTR (1398).jpg;Bird
Dataset/train/images\BTR (1399).jpg;Bird
Dataset/train/images\BTR (14).jpg;Bird
Dataset/train/images\BTR (140).jpg;Bird
Dataset/train/images\BTR (1400).jpg;Bird
Dataset/train/images\BTR (1401).jpg;Bird
Dataset/train/images\BTR (1402).jpg;Bird
Dataset/train/images\BTR (1403).jpg;Bird
Dataset/train/images\BTR (1404).jpg;Bird
Dataset/train/images\BTR (1405).jpg;Bird
Dataset/train/images\BTR (1406).jpg;Bird
Dataset/train/images\BTR (1407).jpg;Bird
Dataset/train/images\BTR (1408).jpg;Bird
Dataset/train/images\BTR (1409).jpg;Bird
Dataset/train/images\BTR (141).jpg;Bird
Dataset/train/images\BTR (1410).jpg;Bird
Dataset/train/images\BTR (1411).jpg;Bird
Dataset/train/images\BTR (1412).jpg;Bird
Dataset/train/images\BTR (1413).jpg;Bird
Dataset/train/images\BTR (1414).jpg;Bird
Dataset/train/images\BTR (1415).jpg;Bird
Dataset/train/images\BTR (1416).jpg;Bird
Dataset/train/images\BTR (1417).jpg;Bird
Dataset/train/images\BTR (1418).jpg;Bird
Dataset/train/images\BTR (1419).jpg;Bird
Dataset/train/images\BTR (142).jpg;Bird
Dataset/train/images\BTR (1420).jpg;Bird
Dataset/train/images\BTR (1421).jpg;Bird
Dataset/train/images\BTR (1422).jpg;Bird
Dataset/train/images\BTR (1423).jpg;Bird
Dataset/train/images\BTR (1424).jpg;Bird
Dataset/train/images\BTR (1425).jpg;Bird
Dataset/train/images\BTR (1426).jpg;Bird
Dataset/train/images\BTR (1427).jpg;Bird
Dataset/train/images\BTR (1428).jpg;Bird
Dataset/train/images\BTR (1429).jpg;Bird
Dataset/train/images\BTR (143).jpg;Bird
Dataset/train/images\BTR (1430).jpg;Bird
Dataset/train/images\BTR (1431).jpg;Bird
Dataset/train/images\BTR (1432).jpg;Bird
Dataset/train/images\BTR (1433).jpg;Bird
Dataset/train/images\BTR (1434).jpg;Bird
Dataset/train/images\BTR (1435).jpg;Bird
Dataset/train/images\BTR (1436).jpg;Bird
Dataset/train/images\BTR (1437).jpg;Bird
Dataset/train/images\BTR (1438).jpg;Bird
Dataset/train/images\BTR (1439).jpg;Bird
Dataset/train/images\BTR (144).jpg;Bird
Dataset/train/images\BTR (1440).jpg;Bird
Dataset/train/images\BTR (1441).jpg;Bird
Dataset/train/images\BTR (1442).jpg;Bird
Dataset/train/images\BTR (1443).jpg;Bird
Dataset/train/images\BTR (1444).jpg;Bird
Dataset/train/images\BTR (1445).jpg;Bird
Dataset/train/images\BTR (1446).jpg;Bird
Dataset/train/images\BTR (1447).jpg;Bird
Dataset/train/images\BTR (1448).jpg;Bird
Dataset/train/images\BTR (1449).jpg;Bird
Dataset/train/images\BTR (145).jpg;Bird
Dataset/train/images\BTR (1450).jpg;Bird
Dataset/train/images\BTR (1451).jpg;Bird
Dataset/train/images\BTR (1452).jpg;Bird
Dataset/train/images\BTR (1453).jpg;Bird
Dataset/train/images\BTR (1454).jpg;Bird
Dataset/train/images\BTR (1455).jpg;Bird
Dataset/train/images\BTR (1456).jpg;Bird
Dataset/train/images\BTR (1457).jpg;Bird
Dataset/train/images\BTR (1458).jpg;Bird
Dataset/train/images\BTR (1459).jpg;Bird
Dataset/train/images\BTR (146).jpg;Bird
Dataset/train/images\BTR (1460).jpg;Bird
Dataset/train/images\BTR (1461).jpg;Bird
Dataset/train/images\BTR (1462).jpg;Bird
Dataset/train/images\BTR (1463).jpg;Bird
Dataset/train/images\BTR (1464).jpg;Bird
Dataset/train/images\BTR (1465).jpg;Bird
Dataset/train/images\BTR (1466).jpg;Bird
Dataset/train/images\BTR (1467).jpg;Bird
Dataset/train/images\BTR (1468).jpg;Bird
Dataset/train/images\BTR (1469).jpg;Bird
Dataset/train/images\BTR (147).jpg;Bird
Dataset/train/images\BTR (1470).jpg;Bird
Dataset/train/images\BTR (1471).jpg;Bird
Dataset/train/images\BTR (1472).jpg;Bird
Dataset/train/images\BTR (1473).jpg;Bird
Dataset/train/images\BTR (1474).jpg;Bird
Dataset/train/images\BTR (1475).jpg;Bird
Dataset/train/images\BTR (1476).jpg;Bird
Dataset/train/images\BTR (1477).jpg;Bird
Dataset/train/images\BTR (1478).jpg;Bird
Dataset/train/images\BTR (1479).jpg;Bird
Dataset/train/images\BTR (148).jpg;Bird
Dataset/train/images\BTR (1480).jpg;Bird
Dataset/train/images\BTR (1481).jpg;Bird
Dataset/train/images\BTR (1482).jpg;Bird
Dataset/train/images\BTR (1483).jpg;Bird
Dataset/train/images\BTR (1484).jpg;Bird
Dataset/train/images\BTR (1485).jpg;Bird
Dataset/train/images\BTR (1486).jpg;Bird
Dataset/train/images\BTR (1487).jpg;Bird
Dataset/train/images\BTR (1488).jpg;Bird
Dataset/train/images\BTR (1489).jpg;Bird
Dataset/train/images\BTR (149).jpg;Bird
Dataset/train/images\BTR (1490).jpg;Bird
Dataset/train/images\BTR (1491).jpg;Bird
Dataset/train/images\BTR (1492).jpg;Bird
Dataset/train/images\BTR (1493).jpg;Bird
Dataset/train/images\BTR (1494).jpg;Bird
Dataset/train/images\BTR (1495).jpg;Bird
Dataset/train/images\BTR (1496).jpg;Bird
Dataset/train/images\BTR (1497).jpg;Bird
Dataset/train/images\BTR (1498).jpg;Bird
Dataset/train/images\BTR (1499).jpg;Bird
Dataset/train/images\BTR (15).jpg;Bird
Dataset/train/images\BTR (150).jpg;Bird
Dataset/train/images\BTR (1500).jpg;Bird
Dataset/train/images\BTR (1501).jpg;Bird
Dataset/train/images\BTR (1502).jpg;Bird
Dataset/train/images\BTR (1503).jpg;Bird
Dataset/train/images\BTR (1504).jpg;Bird
Dataset/train/images\BTR (1505).jpg;Bird
Dataset/train/images\BTR (1506).jpg;Bird
Dataset/train/images\BTR (1507).jpg;Bird
Dataset/train/images\BTR (1508).jpg;Bird
Dataset/train/images\BTR (1509).jpg;Bird
Dataset/train/images\BTR (151).jpg;Bird
Dataset/train/images\BTR (1510).jpg;Bird
Dataset/train/images\BTR (1511).jpg;Bird
Dataset/train/images\BTR (1512).jpg;Bird
Dataset/train/images\BTR (1513).jpg;Bird
Dataset/train/images\BTR (1514).jpg;Bird
Dataset/train/images\BTR (1515).jpg;Bird
Dataset/train/images\BTR (1516).jpg;Bird
Dataset/train/images\BTR (1517).jpg;Bird
Dataset/train/images\BTR (1518).jpg;Bird
Dataset/train/images\BTR (1519).jpg;Bird
Dataset/train/images\BTR (152).jpg;Bird
Dataset/train/images\BTR (1520).jpg;Bird
Dataset/train/images\BTR (1521).jpg;Bird
Dataset/train/images\BTR (1522).jpg;Bird
Dataset/train/images\BTR (1523).jpg;Bird
